[INFO ] 2019-11-02T08:29:10,904 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:11,091 [pool-1-thread-1] RPCClient - Startup took 186 msec
[INFO ] 2019-11-02T08:29:13,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:13,543 [pool-1-thread-1] RPCClient - Startup took 226 msec
[INFO ] 2019-11-02T08:29:13,849 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:14,003 [pool-1-thread-1] RPCClient - Startup took 153 msec
[INFO ] 2019-11-02T08:29:16,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:16,515 [pool-1-thread-1] RPCClient - Startup took 196 msec
[INFO ] 2019-11-02T08:29:17,025 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:17,164 [pool-1-thread-1] RPCClient - Startup took 138 msec
[INFO ] 2019-11-02T08:29:19,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:19,485 [pool-1-thread-1] RPCClient - Startup took 167 msec
[INFO ] 2019-11-02T08:29:19,895 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:20,045 [pool-1-thread-1] RPCClient - Startup took 148 msec
[INFO ] 2019-11-02T08:29:22,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:22,714 [pool-1-thread-1] RPCClient - Startup took 395 msec
[INFO ] 2019-11-02T08:29:23,232 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:23,417 [pool-1-thread-1] RPCClient - Startup took 182 msec
[INFO ] 2019-11-02T08:29:25,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:25,614 [pool-1-thread-1] RPCClient - Startup took 295 msec
[INFO ] 2019-11-02T08:29:26,677 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:26,883 [pool-1-thread-1] RPCClient - Startup took 205 msec
[INFO ] 2019-11-02T08:29:28,318 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:28,498 [pool-1-thread-1] RPCClient - Startup took 177 msec
[INFO ] 2019-11-02T08:29:28,891 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:29,073 [pool-1-thread-1] RPCClient - Startup took 181 msec
[INFO ] 2019-11-02T08:29:31,318 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:31,503 [pool-1-thread-1] RPCClient - Startup took 184 msec
[INFO ] 2019-11-02T08:29:32,273 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:32,595 [pool-1-thread-1] RPCClient - Startup took 319 msec
[INFO ] 2019-11-02T08:29:34,318 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:34,498 [pool-1-thread-1] RPCClient - Startup took 179 msec
[INFO ] 2019-11-02T08:29:34,813 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:34,974 [pool-1-thread-1] RPCClient - Startup took 159 msec
[INFO ] 2019-11-02T08:29:37,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:37,562 [pool-1-thread-1] RPCClient - Startup took 243 msec
[INFO ] 2019-11-02T08:29:38,022 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:38,314 [pool-1-thread-1] RPCClient - Startup took 289 msec
[INFO ] 2019-11-02T08:29:40,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:40,587 [pool-1-thread-1] RPCClient - Startup took 268 msec
[INFO ] 2019-11-02T08:29:41,003 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:41,186 [pool-1-thread-1] RPCClient - Startup took 182 msec
[INFO ] 2019-11-02T08:29:43,318 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:43,562 [pool-1-thread-1] RPCClient - Startup took 243 msec
[INFO ] 2019-11-02T08:29:44,171 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:44,356 [pool-1-thread-1] RPCClient - Startup took 183 msec
[INFO ] 2019-11-02T08:29:46,318 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:46,519 [pool-1-thread-1] RPCClient - Startup took 199 msec
[INFO ] 2019-11-02T08:29:46,905 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:47,046 [pool-1-thread-1] RPCClient - Startup took 140 msec
[INFO ] 2019-11-02T08:29:49,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:49,512 [pool-1-thread-1] RPCClient - Startup took 193 msec
[INFO ] 2019-11-02T08:29:49,810 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:49,939 [pool-1-thread-1] RPCClient - Startup took 127 msec
[INFO ] 2019-11-02T08:29:52,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:52,496 [pool-1-thread-1] RPCClient - Startup took 178 msec
[INFO ] 2019-11-02T08:29:52,894 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:52,995 [pool-1-thread-1] RPCClient - Startup took 99 msec
[INFO ] 2019-11-02T08:29:55,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:55,549 [pool-1-thread-1] RPCClient - Startup took 230 msec
[INFO ] 2019-11-02T08:29:55,850 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:55,988 [pool-1-thread-1] RPCClient - Startup took 136 msec
[INFO ] 2019-11-02T08:29:58,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:29:58,452 [pool-1-thread-1] RPCClient - Startup took 134 msec
[INFO ] 2019-11-02T08:29:58,947 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:29:59,159 [pool-1-thread-1] RPCClient - Startup took 210 msec
[INFO ] 2019-11-02T08:30:01,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:01,510 [pool-1-thread-1] RPCClient - Startup took 191 msec
[INFO ] 2019-11-02T08:30:01,840 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:01,975 [pool-1-thread-1] RPCClient - Startup took 134 msec
[INFO ] 2019-11-02T08:30:04,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:04,472 [pool-1-thread-1] RPCClient - Startup took 153 msec
[INFO ] 2019-11-02T08:30:04,796 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:04,907 [pool-1-thread-1] RPCClient - Startup took 110 msec
[INFO ] 2019-11-02T08:30:07,318 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:07,542 [pool-1-thread-1] RPCClient - Startup took 223 msec
[INFO ] 2019-11-02T08:30:08,078 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:08,188 [pool-1-thread-1] RPCClient - Startup took 109 msec
[INFO ] 2019-11-02T08:30:10,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:10,453 [pool-1-thread-1] RPCClient - Startup took 134 msec
[INFO ] 2019-11-02T08:30:10,831 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:10,937 [pool-1-thread-1] RPCClient - Startup took 105 msec
[INFO ] 2019-11-02T08:30:13,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:13,488 [pool-1-thread-1] RPCClient - Startup took 170 msec
[INFO ] 2019-11-02T08:30:14,248 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:14,431 [pool-1-thread-1] RPCClient - Startup took 182 msec
[INFO ] 2019-11-02T08:30:16,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:16,509 [pool-1-thread-1] RPCClient - Startup took 190 msec
[INFO ] 2019-11-02T08:30:17,164 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:17,349 [pool-1-thread-1] RPCClient - Startup took 183 msec
[INFO ] 2019-11-02T08:30:19,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:19,452 [pool-1-thread-1] RPCClient - Startup took 134 msec
